unixtime,datetime_utc,datetime_jst,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_min,rtc_sec,rtc_msec,gps_hour,gps_min,gps_sec,latitude,longitude,altitude,fix_type,SIV,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,illuminance,atmopress,water_pressure,water_temp,depth,alt_wps,battery_level,behavior_class,camera_command,camera_recording,camera_count,play_audio,speaker_on,audio_file,prev_sd_write_time_ms,delay_occurred_counter
1715222159.0,2024-05-09 02:35:59+00:00,2024-05-09 11:35:59+09:00,2024,5,9,2,35,59,0,2.0,35.0,59.0,40.540134,141.54335,17.353001,3.0,13.0,-0.598145,-0.072998,-0.257568,3.356934,86.547852,-16.357422,-233.0,-20.0,409.0,2967.0,0.0,1012.799988,17.5,-0.001982,3.745133,4.042969,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.04,2024-05-09 02:35:59.040000+00:00,2024-05-09 11:35:59.040000+09:00,2024,5,9,2,35,59,40,,,,,,,,,0.092529,0.03418,0.236572,-59.448242,-46.875,5.615234,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.08,2024-05-09 02:35:59.080000+00:00,2024-05-09 11:35:59.080000+09:00,2024,5,9,2,35,59,80,,,,,,,,,0.478516,-0.017578,0.685547,-57.250977,-110.778809,37.963867,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.12,2024-05-09 02:35:59.120000+00:00,2024-05-09 11:35:59.120000+09:00,2024,5,9,2,35,59,120,,,,,,,,,0.471191,0.206299,1.151367,-2.502441,24.475098,2.13623,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.16,2024-05-09 02:35:59.160000+00:00,2024-05-09 11:35:59.160000+09:00,2024,5,9,2,35,59,160,,,,,,,,,0.018799,0.126709,1.650146,11.84082,34.606934,-6.347656,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.2,2024-05-09 02:35:59.200000+00:00,2024-05-09 11:35:59.200000+09:00,2024,5,9,2,35,59,200,,,,,,,,,0.098633,0.318604,1.796143,-9.399414,-31.860352,4.943848,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.24,2024-05-09 02:35:59.240000+00:00,2024-05-09 11:35:59.240000+09:00,2024,5,9,2,35,59,240,,,,,,,,,0.306885,0.342773,1.350586,-2.807617,91.85791,-9.643555,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.28,2024-05-09 02:35:59.280000+00:00,2024-05-09 11:35:59.280000+09:00,2024,5,9,2,35,59,280,,,,,,,,,-0.517578,0.398926,-0.469971,12.817383,46.447754,36.92627,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.32,2024-05-09 02:35:59.320000+00:00,2024-05-09 11:35:59.320000+09:00,2024,5,9,2,35,59,320,,,,,,,,,0.119629,-0.048584,0.267334,-42.480469,-55.297852,18.737793,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.36,2024-05-09 02:35:59.360000+00:00,2024-05-09 11:35:59.360000+09:00,2024,5,9,2,35,59,360,,,,,,,,,0.600342,0.13916,0.816406,-23.925781,-99.060059,31.799316,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.4,2024-05-09 02:35:59.400000+00:00,2024-05-09 11:35:59.400000+09:00,2024,5,9,2,35,59,400,,,,,,,,,0.46167,0.102295,1.342529,8.300781,31.738281,-12.084961,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.44,2024-05-09 02:35:59.440000+00:00,2024-05-09 11:35:59.440000+09:00,2024,5,9,2,35,59,440,,,,,,,,,0.055176,0.368652,1.699951,29.541016,26.550293,5.737305,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.48,2024-05-09 02:35:59.480000+00:00,2024-05-09 11:35:59.480000+09:00,2024,5,9,2,35,59,480,,,,,,,,,0.149902,0.218506,1.995605,15.808105,-9.521484,7.8125,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.52,2024-05-09 02:35:59.520000+00:00,2024-05-09 11:35:59.520000+09:00,2024,5,9,2,35,59,520,,,,,,,,,0.177002,0.057129,1.299316,3.662109,101.074219,-25.45166,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.56,2024-05-09 02:35:59.560000+00:00,2024-05-09 11:35:59.560000+09:00,2024,5,9,2,35,59,560,,,,,,,,,-0.186035,0.320557,-0.245605,-16.052246,-22.521973,15.136719,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.6,2024-05-09 02:35:59.600000+00:00,2024-05-09 11:35:59.600000+09:00,2024,5,9,2,35,59,600,,,,,,,,,0.057129,0.053223,0.244629,-23.4375,-71.960449,16.662598,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.64,2024-05-09 02:35:59.640000+00:00,2024-05-09 11:35:59.640000+09:00,2024,5,9,2,35,59,640,,,,,,,,,0.79126,0.168457,1.103516,104.614258,-81.542969,55.175781,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.68,2024-05-09 02:35:59.680000+00:00,2024-05-09 11:35:59.680000+09:00,2024,5,9,2,35,59,680,,,,,,,,,0.585938,0.67334,1.441406,-16.296387,52.490234,32.592773,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.72,2024-05-09 02:35:59.720000+00:00,2024-05-09 11:35:59.720000+09:00,2024,5,9,2,35,59,720,,,,,,,,,-0.266602,-0.068848,2.018799,-43.395996,39.855957,-10.925293,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
1715222159.76,2024-05-09 02:35:59.760000+00:00,2024-05-09 11:35:59.760000+09:00,2024,5,9,2,35,59,760,,,,,,,,,0.231445,0.491455,2.285156,-13.671875,-40.588379,4.577637,,,,,,,,,,,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,8.0,0.0
