,unixtime,datetime_utc,datetime_jst,rtc_year,rtc_month,rtc_day,rtc_hour,rtc_min,rtc_sec,rtc_msec,gps_hour,gps_min,gps_sec,latitude,longitude,altitude,fix_type,SIV,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,illuminance,atmopress,water_pressure,water_temp,depth,alt_wps,battery_level,behavior_class,camera_command,camera_recording,camera_count,play_audio,speaker_on,audio_file,prev_sd_write_time_ms,delay_occurred_counter
50,1715390942.0,2024-05-11 01:29:02+00:00,2024-05-11 10:29:02+09:00,2024,5,11,1,29,2,0,1.0,29.0,2.0,40.540356,141.557587,7.414,2.0,3.0,0.094482,0.164307,0.978027,-0.244141,-0.061035,-0.12207,-509.0,-38.0,575.0,346.0,0.0,1021.900024,38.25,0.088197,-71.727585,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
75,1715390943.0,2024-05-11 01:29:03+00:00,2024-05-11 10:29:03+09:00,2024,5,11,1,29,3,0,1.0,29.0,3.0,40.540398,141.557587,7.488,2.0,3.0,0.093994,0.165283,0.979736,-0.12207,-0.061035,0.0,-510.0,-38.0,573.0,345.0,0.0,1021.799988,38.240002,0.087206,-70.900879,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
100,1715390944.0,2024-05-11 01:29:04+00:00,2024-05-11 10:29:04+09:00,2024,5,11,1,29,4,0,1.0,29.0,4.0,40.540508,141.557571,6.263,2.0,3.0,0.095459,0.163574,0.97998,-0.12207,-0.061035,0.0,-510.0,-39.0,577.0,345.0,0.0,1022.099976,38.23,0.090179,-73.379799,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
125,1715390945.0,2024-05-11 01:29:05+00:00,2024-05-11 10:29:05+09:00,2024,5,11,1,29,5,0,1.0,29.0,5.0,40.540535,141.557556,7.051,2.0,3.0,0.096436,0.164795,0.978271,-0.12207,0.0,0.061035,-509.0,-39.0,578.0,345.0,0.0,1021.200012,38.220001,0.08126,-65.941277,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
150,1715390946.0,2024-05-11 01:29:06+00:00,2024-05-11 10:29:06+09:00,2024,5,11,1,29,6,0,1.0,29.0,6.0,40.540436,141.557526,3.092,2.0,3.0,0.094971,0.165039,0.980713,-0.244141,0.061035,-0.061035,-509.0,-39.0,574.0,345.0,0.0,1021.200012,38.209999,0.08126,-65.941277,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
175,1715390947.0,2024-05-11 01:29:07+00:00,2024-05-11 10:29:07+09:00,2024,5,11,1,29,7,0,1.0,29.0,7.0,40.540337,141.557495,-0.577,2.0,3.0,0.095215,0.164551,0.979248,-0.12207,0.12207,0.0,-509.0,-39.0,576.0,346.0,0.0,1022.200012,38.209999,0.09117,-74.206306,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
200,1715390948.0,2024-05-11 01:29:08+00:00,2024-05-11 10:29:08+09:00,2024,5,11,1,29,8,0,1.0,29.0,8.0,40.539028,141.557541,0.27,2.0,3.0,0.093506,0.162354,0.979736,-0.244141,-0.12207,0.0,-510.0,-39.0,575.0,345.0,0.0,1021.799988,38.200001,0.087206,-70.900879,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
225,1715390949.0,2024-05-11 01:29:09+00:00,2024-05-11 10:29:09+09:00,2024,5,11,1,29,9,0,1.0,29.0,9.0,40.539043,141.557526,-1.2,2.0,3.0,0.095215,0.164551,0.980469,-0.12207,-0.061035,-0.061035,-509.0,-40.0,574.0,345.0,0.0,1021.400024,38.189999,0.083242,-67.59491,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
250,1715390950.0,2024-05-11 01:29:10+00:00,2024-05-11 10:29:10+09:00,2024,5,11,1,29,10,0,1.0,29.0,10.0,40.539043,141.557541,1.21,2.0,3.0,0.094482,0.164062,0.980713,-0.12207,-0.12207,-0.061035,-509.0,-38.0,572.0,349.0,0.0,1021.599976,38.18,0.085224,-69.247772,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
275,1715390951.0,2024-05-11 01:29:11+00:00,2024-05-11 10:29:11+09:00,2024,5,11,1,29,11,0,1.0,29.0,11.0,40.53904,141.557541,1.627,2.0,3.0,0.093994,0.165283,0.979004,-0.183105,0.0,0.0,-510.0,-40.0,574.0,342.0,0.0,1022.0,38.18,0.089188,-72.553726,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
300,1715390952.0,2024-05-11 01:29:12+00:00,2024-05-11 10:29:12+09:00,2024,5,11,1,29,12,0,1.0,29.0,12.0,40.53904,141.557541,0.522,2.0,3.0,0.093994,0.164307,0.979248,-0.183105,-0.061035,0.0,-509.0,-39.0,573.0,348.0,0.0,1022.299988,38.169998,0.092161,-75.032249,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
325,1715390953.0,2024-05-11 01:29:13+00:00,2024-05-11 10:29:13+09:00,2024,5,11,1,29,13,0,1.0,29.0,13.0,40.539047,141.557541,-1.343,2.0,3.0,0.096191,0.166016,0.980957,-0.183105,-0.12207,-0.061035,-512.0,-38.0,574.0,331.0,0.0,1021.400024,38.16,0.083242,-67.59491,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
350,1715390954.0,2024-05-11 01:29:14+00:00,2024-05-11 10:29:14+09:00,2024,5,11,1,29,14,0,1.0,29.0,14.0,40.539047,141.557541,-0.037,2.0,3.0,0.092285,0.165771,0.979248,-0.183105,-0.183105,0.0,-510.0,-39.0,573.0,350.0,0.0,1021.599976,38.150002,0.085224,-69.247772,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
375,1715390955.0,2024-05-11 01:29:15+00:00,2024-05-11 10:29:15+09:00,2024,5,11,1,29,15,0,1.0,29.0,15.0,40.539051,141.557541,-1.511,2.0,3.0,0.092773,0.166748,0.979736,-0.183105,-0.061035,0.0,-509.0,-38.0,573.0,350.0,0.0,1022.099976,38.150002,0.090179,-73.379799,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
400,1715390956.0,2024-05-11 01:29:16+00:00,2024-05-11 10:29:16+09:00,2024,5,11,1,29,16,0,1.0,29.0,16.0,40.539055,141.557526,-1.912,2.0,3.0,0.093018,0.16626,0.978271,-0.12207,0.061035,0.0,-509.0,-39.0,573.0,350.0,0.0,1021.700012,38.150002,0.086215,-70.074615,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
425,1715390957.0,2024-05-11 01:29:17+00:00,2024-05-11 10:29:17+09:00,2024,5,11,1,29,17,0,1.0,29.0,17.0,40.539059,141.557526,-3.187,2.0,3.0,0.094482,0.166016,0.979004,-0.12207,-0.183105,0.061035,-509.0,-39.0,575.0,350.0,0.0,1021.700012,38.139999,0.086215,-70.074615,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
450,1715390958.0,2024-05-11 01:29:18+00:00,2024-05-11 10:29:18+09:00,2024,5,11,1,29,18,0,1.0,29.0,18.0,40.539162,141.557617,1.548,3.0,4.0,0.095459,0.166992,0.979492,-0.183105,-0.244141,0.061035,-509.0,-39.0,575.0,351.0,0.0,1021.900024,38.139999,0.088197,-71.727585,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
475,1715390959.0,2024-05-11 01:29:19+00:00,2024-05-11 10:29:19+09:00,2024,5,11,1,29,19,0,1.0,29.0,19.0,40.539143,141.557648,-3.054,3.0,4.0,0.094482,0.166016,0.978027,-0.183105,0.0,0.0,-509.0,-40.0,574.0,351.0,0.0,1021.700012,38.130001,0.086215,-70.074615,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
500,1715390960.0,2024-05-11 01:29:20+00:00,2024-05-11 10:29:20+09:00,2024,5,11,1,29,20,0,1.0,29.0,20.0,40.539139,141.557648,-2.05,3.0,4.0,0.09375,0.166504,0.978027,-0.12207,-0.061035,0.061035,-510.0,-38.0,574.0,352.0,0.0,1021.900024,38.130001,0.088197,-71.727585,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
525,1715390961.0,2024-05-11 01:29:21+00:00,2024-05-11 10:29:21+09:00,2024,5,11,1,29,21,0,1.0,29.0,21.0,40.539124,141.557648,-3.287,3.0,4.0,0.094727,0.166748,0.979736,-0.183105,-0.061035,0.0,-509.0,-39.0,575.0,351.0,0.0,1022.099976,38.130001,0.090179,-73.379799,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,9.0,0.0
550,1715390962.0,2024-05-11 01:29:22+00:00,2024-05-11 10:29:22+09:00,2024,5,11,1,29,22,0,1.0,29.0,22.0,40.53912,141.557648,-3.383,3.0,4.0,0.095215,0.16626,0.978027,-0.244141,-0.061035,0.0,-509.0,-40.0,573.0,350.0,0.0,1021.700012,38.119999,0.086215,-70.074615,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
575,1715390963.0,2024-05-11 01:29:23+00:00,2024-05-11 10:29:23+09:00,2024,5,11,1,29,23,0,1.0,29.0,23.0,40.539116,141.557648,-3.495,3.0,4.0,0.095459,0.166504,0.979248,-0.12207,0.0,0.0,-508.0,-38.0,575.0,350.0,0.0,1021.400024,38.119999,0.083242,-67.59491,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
600,1715390964.0,2024-05-11 01:29:24+00:00,2024-05-11 10:29:24+09:00,2024,5,11,1,29,24,0,1.0,29.0,24.0,40.539112,141.557632,-3.818,3.0,4.0,0.093018,0.166016,0.979248,-0.305176,-0.12207,0.0,-509.0,-38.0,576.0,350.0,0.0,1021.700012,38.119999,0.086215,-70.074615,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,0.0
625,1715390965.0,2024-05-11 01:29:25+00:00,2024-05-11 10:29:25+09:00,2024,5,11,1,29,25,0,1.0,29.0,25.0,40.539124,141.557632,-1.748,3.0,4.0,0.092773,0.166992,0.97998,-0.12207,-0.061035,-0.061035,-509.0,-39.0,576.0,350.0,0.0,1022.0,38.119999,0.089188,-72.553726,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
650,1715390966.0,2024-05-11 01:29:26+00:00,2024-05-11 10:29:26+09:00,2024,5,11,1,29,26,0,1.0,29.0,26.0,40.539204,141.5578,1.034,3.0,5.0,0.094482,0.16626,0.980469,-0.12207,-0.061035,0.061035,-509.0,-39.0,572.0,351.0,0.0,1021.900024,38.119999,0.088197,-71.727585,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,0.0
675,1715390967.0,2024-05-11 01:29:27+00:00,2024-05-11 10:29:27+09:00,2024,5,11,1,29,27,0,1.0,29.0,27.0,40.539215,141.557785,3.133,3.0,5.0,0.094727,0.167725,0.979004,-0.183105,-0.12207,-0.061035,-509.0,-40.0,575.0,351.0,0.0,1021.299988,38.119999,0.082251,-66.767876,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
700,1715390968.0,2024-05-11 01:29:28+00:00,2024-05-11 10:29:28+09:00,2024,5,11,1,29,28,0,1.0,29.0,28.0,40.539238,141.55777,7.335,3.0,5.0,0.09375,0.167236,0.979248,-0.244141,-0.12207,0.061035,-510.0,-40.0,576.0,350.0,0.0,1021.700012,38.110001,0.086215,-70.074615,4.1625,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,5.0,0.0
