file_name,test_id,device_id,body_mass,session_count_0,session_name,pb_start_time_in_video,audio_file_name,date,pb_time,pb_count,pb_count_2,location_category
LBP00_S00,LBP00,4,680,0,LBP00_S00,01:04,Predator,09/05/2024,11:37:06,1,1,bay
LBP00_S01,LBP00,4,680,1,LBP00_S01,01:04,Predator,09/05/2024,11:52:32,2,2,bay
LBP00_S02,LBP00,4,680,2,LBP00_S02,01:04,Noise,09/05/2024,12:25:23,3,1,bay
LBP01_S00,LBP01,1,645,0,LBP01_S00,01:11,Predator,11/05/2024,12:27:23,1,1,bay
LBP01_S01,LBP01,1,645,1,LBP01_S01,NA,Cancelled,11/05/2024,NA,NA,NA,bay
LBP01_S02,LBP01,1,645,2,LBP01_S02,01:04,Predator,11/05/2024,13:15:18,2,2,bay
LBP01_S03,LBP01,1,645,3,LBP01_S03,NA,Cancelled,11/05/2024,NA,NA,NA,NA
LBP03_S00,LBP03,4,620,0,LBP03_S00,01:04,Noise,15/05/2024,04:54:57,1,1,offshore
LBP03_S01,LBP03,4,620,1,LBP03_S01,01:04,Noise,15/05/2024,05:09:41,2,2,offshore
LBP03_S02,LBP03,4,620,2,LBP03_S02,01:04,Noise,15/05/2024,05:42:09,3,3,bay
LBP03_S03,LBP03,4,620,3,LBP03_S03,01:04,Predator,15/05/2024,05:55:18,4,1,bay
LBP03_S04,LBP03,4,620,4,LBP03_S04,01:04,Predator,15/05/2024,13:35:16,5,2,bay
LBP03_S05,LBP03,4,620,5,LBP03_S05,NA,Cancelled,15/05/2024,NA,NA,NA,bay_river
LBP03_S06,LBP03,4,620,6,LBP03_S06,NA,Cancelled,15/05/2024,NA,NA,NA,paddy_field
LBP03_S07,LBP03,4,620,7,LBP03_S07,NA,Cancelled,15/05/2024,NA,NA,NA,paddy_field
LBP03_S08,LBP03,4,620,8,LBP03_S08,01:09,Predator,15/05/2024,13:58:51,6,3,paddy_field
LBP03_S09,LBP03,4,620,9,LBP03_S09,01:04,Noise,15/05/2024,15:54:33,7,4,city
LBP03_S10,LBP03,4,620,10,LBP03_S10,01:04,Predator,15/05/2024,16:08:08,8,4,river
LBP03_S11,LBP03,4,620,11,LBP03_S11,01:04,Predator,15/05/2024,16:21:22,9,5,offshore
LBP05_S00,LBP05,3,735,0,LBP05_S00,01:04,Noise,15/05/2024,16:37:49,1,1,bay
LBP05_S01,LBP05,3,735,1,LBP05_S01,NA,Cancelled,15/05/2024,NA,NA,NA,bay
LBP05_S02,LBP05,3,735,2,LBP05_S02,01:04,Predator,15/05/2024,17:36:08,2,1,bay_river
LBP05_S03,LBP05,3,735,3,LBP05_S03,01:04,Noise,15/05/2024,18:53:57,3,2,offshore
LBP05_S04,LBP05,3,735,4,LBP05_S04,01:04,Noise,16/05/2024,03:59:07,4,3,offshore
LBP05_S05,LBP05,3,735,5,LBP05_S05,01:04,Predator,16/05/2024,04:12:16,5,2,offshore
LBP05_S06,LBP05,3,735,6,LBP05_S06,01:04,Noise,16/05/2024,04:25:27,6,4,offshore
LBP05_S07,LBP05,3,735,7,LBP05_S07,01:04,Noise,16/05/2024,04:38:37,7,5,offshore
LBP05_S08,LBP05,3,735,8,LBP05_S08,01:04,Noise,16/05/2024,04:51:49,8,6,offshore
LBP05_S09,LBP05,3,735,9,LBP05_S09,01:04,Noise,16/05/2024,05:05:41,9,7,offshore
LBP05_S10,LBP05,3,735,10,LBP05_S10,01:04,Noise,16/05/2024,05:18:51,10,8,offshore
LBP05_S11,LBP05,3,735,11,LBP05_S11,01:04,Noise,16/05/2024,05:32:01,11,9,offshore
LBP05_S12,LBP05,3,735,12,LBP05_S12,01:04,Predator,16/05/2024,09:17:06,12,3,bay_river
LBP06_S00,LBP06,3,700,0,LBP06_S00,01:06,Noise,21/05/2024,05:57:55,1,1,bay
LBP06_S01,LBP06,3,700,1,LBP06_S01,01:04,Noise,21/05/2024,12:31:17,2,2,onshore
LBP06_S02,LBP06,3,700,2,LBP06_S02,01:04,Noise,21/05/2024,12:47:31,3,3,offshore
LBP06_S03,LBP06,3,700,3,LBP06_S03,01:04,Noise,21/05/2024,13:08:53,4,4,onshore
LBP06_S04,LBP06,3,700,4,LBP06_S04,01:04,Noise,22/05/2024,05:17:55,5,5,offshore
LBP07_S00,LBP07,4,680,0,LBP07_S00,01:15,Predator,21/05/2024,14:08:19,1,1,bay
LBP07_S01,LBP07,4,680,1,LBP07_S01,01:04,Noise,21/05/2024,15:03:57,2,1,bay
LBP07_S02,LBP07,4,680,2,LBP07_S02,NA,Cancelled,21/05/2024,NA,NA,NA,bay_river
LBP07_S03,LBP07,4,680,3,LBP07_S03,01:04,Noise,21/05/2024,15:22:45,3,2,bay_river
LBP07_S04,LBP07,4,680,4,LBP07_S04,NA,Cancelled,21/05/2024,NA,NA,NA,bay
LBP07_S05,LBP07,4,680,5,LBP07_S05,01:04,Noise,22/05/2024,07:01:23,4,3,offshore
LBP07_S06,LBP07,4,680,6,LBP07_S06,01:04,Noise,22/05/2024,07:14:33,5,4,offshore
LBP08_S00,LBP08,3,625,0,LBP08_S00,NA,Cancelled,23/05/2024,NA,NA,NA,bay
LBP08_S01,LBP08,3,625,1,LBP08_S01,01:04,Noise,24/05/2024,03:56:26,1,1,offshore
LBP08_S02,LBP08,3,625,2,LBP08_S02,01:04,Noise,24/05/2024,04:09:34,2,2,offshore
LBP08_S03,LBP08,3,625,3,LBP08_S03,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S04,LBP08,3,625,4,LBP08_S04,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S05,LBP08,3,625,5,LBP08_S05,01:04,Predator,24/05/2024,04:51:08,3,1,offshore
LBP08_S06,LBP08,3,625,6,LBP08_S06,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S07,LBP08,3,625,7,LBP08_S07,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S08,LBP08,3,625,8,LBP08_S08,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S09,LBP08,3,625,9,LBP08_S09,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S10,LBP08,3,625,10,LBP08_S10,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S11,LBP08,3,625,11,LBP08_S11,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S12,LBP08,3,625,12,LBP08_S12,NA,Cancelled,24/05/2024,NA,NA,NA,offshore
LBP08_S13,LBP08,3,625,13,LBP08_S13,01:12,Noise,24/05/2024,05:59:03,4,3,offshore
LBP08_S14,LBP08,3,625,14,LBP08_S14,NA,Cancelled,24/05/2024,NA,NA,NA,bay
LBP09_S00,LBP09,4,650,0,LBP09_S00,01:04,Noise,24/05/2024,16:45:19,1,1,bay
LBP09_S01,LBP09,4,650,1,LBP09_S01,NA,Cancelled,24/05/2024,NA,NA,NA,bay_river
LBP09_S02,LBP09,4,650,2,LBP09_S02,01:04,Predator,24/05/2024,17:04:50,2,1,bay
LBP09_S03,LBP09,4,650,3,LBP09_S03,01:04,Noise,24/05/2024,17:44:39,3,2,offshore
LBP09_S04,LBP09,4,650,4,LBP09_S04,01:04,Predator,24/05/2024,17:57:52,4,2,offshore
LBP09_S05,LBP09,4,650,5,LBP09_S05,01:04,Predator,24/05/2024,18:11:01,5,3,offshore
LBP09_S06,LBP09,4,650,6,LBP09_S06,01:04,Predator,24/05/2024,18:25:05,6,4,offshore
