_program_index,program_index,pixel_count,abs_diff_pixel_count,pixel_count_p,abs_diff_pixel_count_p,datetime_jst,speed_distance_km_h,abs_diff_distance_m,camera_command,camera_recording,speaker_on
-1912,1,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1911,2,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1910,3,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1909,4,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1908,5,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1907,6,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1906,7,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1905,8,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1904,9,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1903,10,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1902,11,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1901,12,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1900,13,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1899,14,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1898,15,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1897,16,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1896,17,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1895,18,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1894,19,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1893,20,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1892,21,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1891,22,0,0,0.0,0.0,2024-05-09 11:51:28+09:00,26.28266319481411,1.5365060603835534,1.0,1.0,0.0
-1890,23,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1889,24,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1888,25,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1887,26,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1886,27,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1885,28,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1884,29,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1883,30,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1882,31,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1881,32,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1880,33,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1879,34,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1878,35,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1877,36,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1876,37,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1875,38,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1874,39,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1873,40,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1872,41,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1871,42,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1870,43,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1869,44,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1868,45,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1867,46,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1866,47,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1865,48,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1864,49,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1863,50,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1862,51,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
-1861,52,0,0,0.0,0.0,2024-05-09 11:51:29+09:00,24.017482305198435,0.6292169137821313,1.0,1.0,0.0
